"ID_PER","CVE_ENT","NOM_ENT","NOM_INT","private"
1686.7726,26,"Sonora","CEFERESO 11 CPS SONORA",1
1301.807,20,"Oaxaca","CEFERESO 13 CPS OAXACA",1
169.2915,18,"Nayarit","CEFERESO 4 NOROESTE",0
408.1874,20,"Oaxaca","CEFERESO 13 CPS OAXACA",1
2401.4989,10,"Durango","CEFERESO 14 CPS DURANGO",1
626.579,26,"Sonora","CEFERESO 11 CPS SONORA",1
2134.5713,18,"Nayarit","CEFERESO 4 NOROESTE",0
870.4408,11,"Guanajuato","CEFERESO 12 CPS GUANAJUATO",1
1105.8679,5,"Coahuila de Zaragoza","CENTRO PENITENCIARIO FEDERAL 18 ""CPS COAHUILA""",1
112.028,18,"Nayarit","CEFERESO 4 NOROESTE",0
1824.9439,20,"Oaxaca","CEFERESO 13 CPS OAXACA",1
462.4322,25,"Sinaloa","CEFERESO NO 8 NOR-PONIENTE",0
2825.6191,18,"Nayarit","CEFERESO 4 NOROESTE",0
2758.163,18,"Nayarit","CEFERESO 4 NOROESTE",0
184.9693,20,"Oaxaca","CEFERESO 13 CPS OAXACA",1
1970.0327,18,"Nayarit","CEFERESO 4 NOROESTE",0
2646.323,10,"Durango","CEFERESO 14 CPS DURANGO",1
1882.041,10,"Durango","CEFERESO 14 CPS DURANGO",1
1841.2429,15,"Estado de México","CEFERESO 1 ALTIPLANO",0
2640.0988,30,"Veracruz de Ignacio de la Llave","CEFERESO 5 ORIENTE",0
2910.8843,20,"Oaxaca","CEFERESO 13 CPS OAXACA",1
2888.168,20,"Oaxaca","CEFERESO 13 CPS OAXACA",1
2238.2761,26,"Sonora","CEFERESO 11 CPS SONORA",1
1101.35,5,"Coahuila de Zaragoza","CENTRO PENITENCIARIO FEDERAL 18 ""CPS COAHUILA""",1
1920.6753,10,"Durango","CEFERESO 14 CPS DURANGO",1
1690.3492,26,"Sonora","CEFERESO 11 CPS SONORA",1
2951.4615,11,"Guanajuato","CEFERESO 12 CPS GUANAJUATO",1
3111.9137,11,"Guanajuato","CEFERESO 12 CPS GUANAJUATO",1
431.9213,11,"Guanajuato","CEFERESO 12 CPS GUANAJUATO",1
1336.7026,11,"Guanajuato","CEFERESO 12 CPS GUANAJUATO",1
807.0577,26,"Sonora","CEFERESO 11 CPS SONORA",1
521.5444,26,"Sonora","CEFERESO 11 CPS SONORA",1
1141.1391,15,"Estado de México","CEFERESO 1 ALTIPLANO",0
1678.4456,5,"Coahuila de Zaragoza","CENTRO PENITENCIARIO FEDERAL 18 ""CPS COAHUILA""",1
1785.7939,5,"Coahuila de Zaragoza","CENTRO PENITENCIARIO FEDERAL 18 ""CPS COAHUILA""",1
1051.2683,26,"Sonora","CEFERESO 11 CPS SONORA",1
2959.0757,18,"Nayarit","CEFERESO 4 NOROESTE",0
2366.1831,5,"Coahuila de Zaragoza","CENTRO PENITENCIARIO FEDERAL 18 ""CPS COAHUILA""",1
448.8811,11,"Guanajuato","CEFERESO 12 CPS GUANAJUATO",1
1334.8796,20,"Oaxaca","CEFERESO 13 CPS OAXACA",1
2284.452,18,"Nayarit","CEFERESO 4 NOROESTE",0
2785.3171,5,"Coahuila de Zaragoza","CENTRO PENITENCIARIO FEDERAL 18 ""CPS COAHUILA""",1
2197.7212,5,"Coahuila de Zaragoza","CENTRO PENITENCIARIO FEDERAL 18 ""CPS COAHUILA""",1
699.1283,30,"Veracruz de Ignacio de la Llave","CEFERESO 5 ORIENTE",0
825.6521,26,"Sonora","CEFERESO 11 CPS SONORA",1
448.6842,20,"Oaxaca","CEFERESO 13 CPS OAXACA",1
143.2824,18,"Nayarit","CEFERESO 4 NOROESTE",0
336.6761,30,"Veracruz de Ignacio de la Llave","CEFERESO 5 ORIENTE",0
1392.2489,10,"Durango","CEFERESO 14 CPS DURANGO",1
2724.5106,10,"Durango","CEFERESO 14 CPS DURANGO",1
2516.463,20,"Oaxaca","CEFERESO 13 CPS OAXACA",1
2458.9905,10,"Durango","CEFERESO 14 CPS DURANGO",1
2035.1115,15,"Estado de México","CEFERESO 1 ALTIPLANO",0
1195.4299,11,"Guanajuato","CEFERESO 12 CPS GUANAJUATO",1
1424.4828,30,"Veracruz de Ignacio de la Llave","CEFERESO 5 ORIENTE",0
1278.5726,20,"Oaxaca","CEFERESO 13 CPS OAXACA",1
2700.4353,20,"Oaxaca","CEFERESO 13 CPS OAXACA",1
2640.7955,26,"Sonora","CEFERESO 11 CPS SONORA",1
1140.7231,20,"Oaxaca","CEFERESO 13 CPS OAXACA",1
2709.3898,11,"Guanajuato","CEFERESO 12 CPS GUANAJUATO",1
251.0865,10,"Durango","CEFERESO 14 CPS DURANGO",1
873.5114,15,"Estado de México","CEFERESO 1 ALTIPLANO",0
1062.217,5,"Coahuila de Zaragoza","CENTRO PENITENCIARIO FEDERAL 18 ""CPS COAHUILA""",1
3048.8417,20,"Oaxaca","CEFERESO 13 CPS OAXACA",1
297.853,11,"Guanajuato","CEFERESO 12 CPS GUANAJUATO",1
1762.6913,5,"Coahuila de Zaragoza","CENTRO PENITENCIARIO FEDERAL 18 ""CPS COAHUILA""",1
204.9974,5,"Coahuila de Zaragoza","CENTRO PENITENCIARIO FEDERAL 18 ""CPS COAHUILA""",1
3051.5247,20,"Oaxaca","CEFERESO 13 CPS OAXACA",1
2692.3678,10,"Durango","CEFERESO 14 CPS DURANGO",1
541.8319,18,"Nayarit","CEFERESO 4 NOROESTE",0
3186.3303,30,"Veracruz de Ignacio de la Llave","CEFERESO 5 ORIENTE",0
1780.9953,25,"Sinaloa","CEFERESO NO 8 NOR-PONIENTE",0
2335.7354,15,"Estado de México","CEFERESO 1 ALTIPLANO",0
1107.7272,26,"Sonora","CEFERESO 11 CPS SONORA",1
716.4898,10,"Durango","CEFERESO 14 CPS DURANGO",1
793.8903,18,"Nayarit","CEFERESO 4 NOROESTE",0
2858.0336,11,"Guanajuato","CEFERESO 12 CPS GUANAJUATO",1
2741.008,5,"Coahuila de Zaragoza","CENTRO PENITENCIARIO FEDERAL 18 ""CPS COAHUILA""",1
1089.3267,18,"Nayarit","CEFERESO 4 NOROESTE",0
784.5084,30,"Veracruz de Ignacio de la Llave","CEFERESO 5 ORIENTE",0
192.3711,15,"Estado de México","CEFERESO 1 ALTIPLANO",0
494.1144,18,"Nayarit","CEFERESO 4 NOROESTE",0
